# ZFIN registered line designations (allele-symbol prefix -> lab of origin).
# Source: https://zfin.org/action/feature/line-designations (fetched 2026-09-01).
# Regenerate by re-running the parser in the PR that added this file against
# a fresh copy of that page. Columns: prefix<TAB>institution<TAB>labs
ulm	University of Ulm	Just Lab , Rottbauer Lab , Weidinger Lab
um	University of Massachusetts Medical School	Ceol Lab , Lawson Lab , Thyme Lab
umb	University of Massachusetts Boston	Siegfried Lab
umc	University of Manchester	Amaya Lab , Herbert Lab , Hurlstone Lab , Kasher Lab , Lennon Lab , Lowe Lab , Papalopulu Lab , Soto Lab
umd	University of Maryland School of Medicine	Bannister Laboratory (defunct) , Zaghloul Lab
umi	University of Miami	Julia Dallman Lab , University of Miami Zebrafish Facility
umk	University of Michigan, Kellogg Eye Center	Bohnsack Lab , Kahana Lab
umn	University of Minnesota	Lund Lab , Masino Lab , Yasu Kawakami Lab
umo	University of Macau	Kathy Qian Luo Lab , Vivien Ya-Fan WANG‘s lab , Wei Ge Lab
ump	University of Montpellier	Genetics of Neural Development , Kissa Lab , Lutfalla Lab , Molecular Mechanisms in Neurodegenerative Diseases (MMDN) - U1198 , Nguyen-Chi Lab , Yatime Lab
ums	University of Murcia	Mulero Lab
umu	Umeå University	von Hofsten Lab
umz	University of Massachusetts	Downes lab , Jensen Lab , Karlstrom Lab
una	Universidad Nacional Autónoma de México	Fernando Lopez Casillas Laboratory , Lomeli Lab , Molecular and Cellular Neurobiology
unb	University of new Brunswick	Erickson Lab , Matrix Dynamic Lab
unt	University of North Texas	Jag's Lab
uob	University of Birmingham	Ferenc Müller Lab , Monteiro Lab
uog	University of Groningen	Giepmans lab
uoi	University of Idaho	Mitchell Lab , Stenkamp Lab
uol	University of Leicester	Norton Lab
uom	University of Melbourne	Cox Lab , Hogan Lab , Jusuf Lab , Kelly Smith Lab , Ruparelia Lab
uot	University of Toronto	Bruce Lab , Thiele Lab , Tropepe Lab
upo	Centro Andaluz de Biología del Desarrollo, Universidad Pablo de Olavide	Martinez-Morales Lab , Skarmeta Lab , Tena Lab
upr	University of Puerto Rico	Behra Lab
ups	Université Paul Sabatier	Blader Lab , Cavaille Lab , Soula Lab
upv	University of Pavia	Forlino Lab
uq	University of Queensland, Brisbane, Australia	Alpha Yap Lab , Jean Giacomotto Lab , Palpant Lab , Parton Lab , Scott Lab
urv	University of Richmond	Skromne Lab
usc	University of South Carolina	Poulain Lab
usk	University of Saskatchewan	Collins Lab , Eames Lab , Gauvrit Lab
usm	University Sains, Malaysia	Alexander Chong Lab
uss	University of Sussex	Baden Lab , Guthrie Lab , Lagnado Lab , Yoshimatsu Lab
ut	University of Texas at Austin	Gray Lab , Stephen C. Ekker Laboratory
uta	The University of Texas at Arlington	Quintana Lab
ute	University of Texas at El Paso	
uth	University of Texas Houston	O'Brien Lab
utm	University of Texas MD Anderson	Eisenhoffer Lab
utn	University of Trento	Laboratory of Molecular and Cellular Ophthalmology , Mione Lab
uto	University of Torino	Santoro Lab
utz	University of Texas Marine Science Institute	Peter Thomas Lab
uu	Uppsala University Zebrafish Facility	Betsholtz Lab , Boije Lab , Haitina Lab , Juan Lab , Lymphatics lab , Uppsala University Zebrafish Facility, Regional SciLifeLab Facility , Villablanca Lab
uua	Utrecht University Aquarium	Bogerd Lab , Schulz Lab
uv	Universidad de Valparaiso	Whitlock Lab
uva	University of Virginia	Kucenas Lab
uvm	University of Vermont	Ebert Lab
uvr	University of Verona	Laboratory of Neurogenetics and Translational Biology
uw	University of Wisconsin-Madison	Grinblat Lab , Halloran Lab , Heideman Lab , Pelegri Lab , Taylor Lab
uwd	University of Wisconsin-Madison	Drerup Lab
uwk	University of Wisconsin -Madison	Kang Lab
uwm	University of Wisconsin-Madison	Huttenlocher Lab
uy	University of Yamanashi	Kawahara Lab
v	Wesleyan University	Devoto Lab
va	University of Virginia School of Medicine	Thisse's Lab , Wythe Lab
vai	Van Andel Institute	Grainger Lab
vbc	Vienna BioCenter	Pauli Lab
vc	Virginia Commonwealth University	Lister Lab , Walsh Lab
vcc	Victor Chang Cardiac Research Institute	Emily Wong Lab , Fatkin Lab , Kazu Kikuchi Lab
vi	Children's Cancer Research Institute	Distel Lab
vln	Vilnius University	Balciunas Lab Vilnius
vmc	Vanderbilt University Medical Center	Knapik Lab
vo	OHSU Oregon Hearing and Research Center and Vollum Institute	Monk Lab
vp	University of Virginia	Parichy Lab
vt	Virginia Tech	Pan Lab
vu	Vanderbilt University	Chen Lab , Cone Lab , Ess Lab , Gamse Lab , James G. Patton Lab , Jessen Lab , Lila Solnica-Krezel Lab - Vanderbilt University , Mchaourab Laboratory , Mortlock Lab , Roden Lab , Skaar Lab , Wente Lab , Zhong Lab
vum	VU University Medical Center	Van der Sar Lab
w	University of Washington	Brockerhoff Lab , David Raible Lab , Gallagher Lab , Hurley Lab , Kimelman Lab , Kwon Lab , Randall Moon Lab , Rasmussen Lab , Wordeman Lab
wa	Waseda University	Ohshima Lab
waw	International Institute of Molecular and Cell Biology (IIMCB)	Bochtler Lab , Laboratory of Cell Biology (Miaczynska Laboratory) , Laboratory of Neurodegeneration (Kuznicki Laboratory) , Laboratory of Zebrafish Developmental Genomics
wcm	Weill Cornell Medical College	Cao Lab Weill Cornell Medical College , Evans Lab , Harrison Lab , Yariv Houvras Laboratory
wh	Woods Hole Oceanographic Institution	Hahn Lab , Stegeman Lab
whu	Wuhan University	Fang Zheng Lab , Hudan Liu Lab , Rongjia Zhou Lab , Ruilin Zhang Lab
wi	Whitehead Institute	Hazel Sive Lab
win	Winona State University	Hines Neural Development Lab
wk	Wonkwang University School of Medicine	Choe Lab
wmr	Rice University	Uribe Lab
wmu	Wenzhou Medical University	Xi Li Lab
wp	University of Washington	
ws	Warwick Medical School	Sampath Lab
wsu	Wayne State University	Thummel Lab
wsz	Washington State University, Pullman	Shelden Lab
wue	Universität Würzburg	Gerull Lab , Klopocki Lab , Neurodevelopment and disease mechanisms
wv	Washington State University, Vancouver	Coffin Lab , Cooper Lab
wvz	West Virginia University	Bergeron Lab , Horstick Lab
wz	Weizmann Institute of Science	Gur Lab , Levkowitz Lab , Yaniv Lab
x	Texas A&M	Clark Lab , Riley Lab
xj	Nanjing XinJia Medical Technology Co., LTD	Nanjing XinJia Medical Technology Co., LTD
xmu	Xiamen University	Mingyu Li Lab , Shi-Xi Chen Lab , Zhenghong Lab
xt	Duke University, Center for AIDS Research	
xu	Mayo Clinic College of Medicine	Xu Lab
xz	University of Texas Health Science Center at Houston	The Zhao Laboratory
y	NICHD/NIH	Chitnis Lab , Dawid Lab , Farrell Lab , Feldman Lab , Harold Burgess Lab , Jung Lab , Porter Lab , Rogers Lab, Unit on Developmental Signaling , Sargent Lab , Weinstein Lab
ya	Yale University	Giraldez Lab , Hoffman Lab , Holley Lab , Nicoli Lab , Zenisek Lab , Zhaoxia Sun lab
yg	Yamaguchi University	Department of Otolaryngology (Sugahara Lab)
yku	York University	Zoidl Lab
ym	National Yang-Ming University, Taipei, Taiwan	Her Lab , Tsay Lab
ync	Yale-NUS College	
yo	University of York	Pownall Lab
yu	Yonsei University	Seung Park Lab
yzu	Yangzhou University	Chengyi Song Lab
z	University of Utah	Bernstein Lab , Elde Lab , Evason Lab , Grunwald Lab , Jurynec Lab , Kwan Lab , Schlegel Lab , Trede Lab
zc	University of Utah	Bonkowsky Lab , Chien Lab
zd	University of Utah	Cicely Jette Lab , Dorsky Lab , Douglass Lab , Rodney Stewart Lab
zdf	Dana-Farber Cancer Institute	A. Thomas Look Lab
ze	ZeClinics	ZeClinics , ZECLINICS
zf	Zebrafish Model Organism Database	ZFIN Database Team
zh	ETH Zürich/University of Zürich	Bachmann Lab , Devuyst Lab , Neuhauss Lab , Pantazis Lab , Peri Lab
zj	University of Utah	Gagnon Lab , Roh-Johnson Lab
zju	Zhejiang University	Caiyong Chen Lab , Fudi Wang Lab , Jinrong Peng Lab , Jun Chen Lab , Laboratory of Development and Organogenesis , Laboratory of Heart Development and Diseases , LO Li JAN Lab , Shao Lab , Yan Li Lab , Zou Lab
zk	National Cancer Center, Korea	Young Ki-Bae Lab
zko	China Zebrafish Resource Center (CZRC)	China Zebrafish Resource Center (CZRC)
zm	Znomics	Znomics, Inc.
zn	Zygogen	Zygogen Research Department
zou	University of Missouri	Chandrasekhar Lab
zp	Children's Hospital, Boston	Keating Lab
zps	TEFOR Paris-Saclay	Team Neuro-Infection and Immunity , TEFOR Paris-Saclay
zsc	South China Normal University	Ren Lab , Yanmei Liu Lab
zu	UMC Utrecht	Koeleman Lab
zy	University of Utah	Yost Lab
